                                                                              27 Jan 2024 12:56:21
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     208    27 Feb 2026 18:53:54.554    27 Feb 2026 18:58:51.861           297.307
                     209    28 Feb 2026 03:59:41.445    28 Feb 2026 04:05:02.259           320.815
                     210    28 Feb 2026 05:32:40.673    28 Feb 2026 05:39:17.163           396.490
                     211    28 Feb 2026 17:01:10.026    28 Feb 2026 17:06:51.547           341.521
                     212    28 Feb 2026 18:34:39.207    28 Feb 2026 18:40:58.621           379.414
                     213     1 Mar 2026 03:42:17.937     1 Mar 2026 03:45:21.812           183.875
                     214     1 Mar 2026 05:13:34.935     1 Mar 2026 05:20:49.865           434.930
                     215     1 Mar 2026 16:43:26.926     1 Mar 2026 16:46:51.302           204.376
                     216     1 Mar 2026 18:15:39.085     1 Mar 2026 18:22:44.258           425.173
                     217     2 Mar 2026 04:54:45.893     2 Mar 2026 05:02:11.571           445.678
                     218     2 Mar 2026 17:56:49.248     2 Mar 2026 18:04:13.836           444.588
                     219     3 Mar 2026 04:36:11.815     3 Mar 2026 04:43:23.993           432.178
                     220     3 Mar 2026 06:12:44.101     3 Mar 2026 06:15:03.907           139.806
                     221     3 Mar 2026 17:38:08.617     3 Mar 2026 17:45:28.511           439.894
                     222     3 Mar 2026 19:14:07.548     3 Mar 2026 19:16:07.462           119.914
                     223     4 Mar 2026 04:17:53.277     4 Mar 2026 04:24:26.627           393.349
                     224     4 Mar 2026 05:52:22.937     4 Mar 2026 05:57:40.259           317.322
                     225     4 Mar 2026 17:19:38.328     4 Mar 2026 17:26:27.171           408.843
                     226     4 Mar 2026 18:54:08.266     4 Mar 2026 18:59:04.289           296.023
                     227     5 Mar 2026 03:59:53.970     5 Mar 2026 04:05:15.889           321.919
                     228     5 Mar 2026 05:32:54.245     5 Mar 2026 05:39:30.086           395.841
                     229     5 Mar 2026 17:01:22.766     5 Mar 2026 17:07:05.353           342.587
                     230     5 Mar 2026 18:34:52.671     5 Mar 2026 18:41:11.364           378.693
                     231     6 Mar 2026 03:42:29.748     6 Mar 2026 03:45:36.084           186.336
                     232     6 Mar 2026 05:13:48.288     6 Mar 2026 05:21:02.939           434.651
                     233     6 Mar 2026 16:43:38.984     6 Mar 2026 16:47:05.860           206.876
                     234     6 Mar 2026 18:15:52.411     6 Mar 2026 18:22:57.208           424.797
                     235     7 Mar 2026 04:54:59.065     7 Mar 2026 05:02:24.760           445.695
                     236     7 Mar 2026 17:57:02.464     7 Mar 2026 18:04:26.963           444.500
                     237     8 Mar 2026 04:36:24.812     8 Mar 2026 04:43:37.290           432.478
                     238     8 Mar 2026 06:12:59.434     8 Mar 2026 06:15:15.209           135.775
                     239     8 Mar 2026 17:38:21.722     8 Mar 2026 17:45:41.817           440.094
                     240     8 Mar 2026 19:14:22.609     8 Mar 2026 19:16:18.465           115.856
                     241     9 Mar 2026 04:18:06.079     9 Mar 2026 04:24:40.052           393.974
                     242     9 Mar 2026 05:52:36.857     9 Mar 2026 05:57:52.904           316.048
                     243     9 Mar 2026 17:19:51.297     9 Mar 2026 17:26:40.676           409.380
                     244     9 Mar 2026 18:54:21.977     9 Mar 2026 18:59:16.715           294.737
                     245    10 Mar 2026 04:00:06.500    10 Mar 2026 04:05:29.516           323.017
                     246    10 Mar 2026 05:33:07.820    10 Mar 2026 05:39:43.006           395.185
                     247    10 Mar 2026 17:01:35.512    10 Mar 2026 17:07:19.155           343.644
                     248    10 Mar 2026 18:35:06.137    10 Mar 2026 18:41:24.106           377.969
                     249    11 Mar 2026 03:42:41.577    11 Mar 2026 03:45:50.340           188.763
                     250    11 Mar 2026 05:14:01.644    11 Mar 2026 05:21:16.011           434.367
